Lookup Artists::Season,Lookup Artists::Staff Team Full Name,Lookup Photographers::Season,Lookup Photographers::Staff Team Full Name,Citations::Citation Volume,Citations::Citation Pages,Citations::Comment,Citations::Full Conversion Text,Citations::Partial Conversion Text Author,Lookup Videographers::Season,Lookup Videographers::Staff Team Full Name,Category ID,Category Text,Contiguous Relationship,Contingious 1,Contingious 2,Count,Count of Features,COUNT OF Sheet Type = Feature & Season = 2014,cSheetGif,Description,Dictated By ID,Dictated Text,Drawing Artist Text,Drawing Reference Text,Drawings Artist ID,Drawings Reference Number,Entered By ID,Entered Date,Entered Text,Entrance,Feature ID,Feature ID Tot.,Feature Sheet Count,Feature Text,FilePath,gArtist,Gate,gPhotographer,gPRStaff,gVideographer,Insula,Last Modified By ID,Last Modified Date,Last Usage ID,Last Usage ID Count,Last Usage Text,Minority Report,Modified Text,Negative Feature,Photo BW Roll Frame,Photo Color Roll Frame,Photo Comments,Photo Digital Image Number,Photographer ID,Photographer Roll Frame,Photographer Text,Recorded By ID,Recorded Date,Recorded Text,Region,Room Number,Room Type ID,Room Type Text,Season,Season Count,Sheet ID,Sheet Type,Structure ID,Structure Text,Totals of Room Type,Video Analog Tape Number,Video Analog Time,Video Comments,Video Digital File Number,Videographer ID,Lookup Principle Researchers::Principle Reasearcher Full Name,Lookup Principle Researchers::Season,Lookup Recorded By::Staff Team Full Name,Lookup Recorded By::Season
,,,,,,,,,,,1,Domestic,To south of latrine.,None,To south of latrine.,4152,4152,,12.gif,"Heavily restored, too low to be for convenient use.  No arched openings beneath for fuel storage.  Addition to north separates platform from latrine.  Small squarish window in wall above (wall looks restored, perhaps it's only resurfaced, because window looks original).",,,,,,,173,06/22/2005,ML,10,88,11,11,"Platform, Cooking",,Yes,,Yes,0,Yes,1,,08/17/2012,3,4102,House,0,8/9/2005 8:07:09 AM,0,,,"video-includes kitchen, counter and latrine.",,,,,173,06/22/2005,MR,6,18,40,Kitchen,2005,4148,12,Feature,490,House of the Surgeon,,05-02,52:47-53:23,,,,,,Margaret Ramos,2005
2005,Jennifer Bailey,2005,Jennifer Bailey,,,,,,,,1,Domestic,"To south of corridor leading to rear entrance of house, contiguous to street, rooms 17, 19, 20.  Opposite to west is room ideal for storage but too large for simply storage for food and drink.","To south of corridor leading to rear entrance of house, contiguous to street, rooms 17, 19, 20.  Opposite to west is room ideal for storage but too large for simply storage for food and drink.",None,4152,4152,,13.gif,Southeast corner of house reached by corridor coming south from portico and another coming west.  Space is not as much room as it is large opening.  Room contains on east wall latrine and cooking platform.  East and north walls restored.  South wall original.  Access from kitchen to major triclinia could be by either corridor because room door is at opposite corner.,19,,,,153,,,06/22/2001,lds,10,211,12,12,(none),,Yes,,Yes,0,Yes,1,,10/22/2013,3,4102,House,0,12/18/2005 3:26:15 PM,0,,,"includes kitchen, counter, latrine",,153,,,,06/22/2005,BM/,6,18,40,Kitchen,2005,4148,13,Space,490,House of the Surgeon,,05-02,52:47-53:23,,,,Betty Jo Mayeske,2001,,
,,,,,,,,,,,1,Domestic,"East of atrium, Contingent to street, rooms 15, 16, 12, 13","East of atrium, Contingent to street, rooms 15, 16, 12, 13",None,4152,4152,,14.gif,"Because of its proximity to garden, could also have served as a study, ref. to Pliny.  Vaulted ceiling, north facing window overlooking garden, window sill intact.  Layout of wall pantry supports association with dining room.  Fourth style painting with evidence of red, yellow, and aqua.  Red border with the real masks and animals (sea monsters and leopard).  Tondo. Plaster molding and vault.  Black and white marble floor not fine enough to be opus sectile.  Black with white interspersed.  Ceiling reconstructed.  Door to northeast corner has marble threshold intact.  Step down from door.  Sea monster on bottom south wall.",,,,,,,173,06/22/2005,ML,10,211,13,13,(none),,Yes,,Yes,0,Yes,1,,08/17/2012,3,4102,House,0,8/9/2005 8:07:09 AM,0,,,65-detail of window wall,,,,,173,06/22/2005,NR,6,14,34,Dining Room,2005,4148,14,Space,490,House of the Surgeon,,02,50:23-51:26,,,,,,Margaret Ramos,2005
,,2005,Steve Jenness,,153,,"Eschebach, 1993, 153, identifies a shop",Eschebach,,,4,Commercial,fronts onto the street.,fronts onto the street.,None,4152,4152,,15.gif,Eschebach identifies a shop but we need to translate to know if this had a connection to food and drink.  There is a cistern and hearth located in this room.,,,,,,,185,06/28/2005,Mary,12,211,14,14,(none),,Yes,,Yes,0,Yes,1,,06/02/2011,18,4102,"Food & Drink Shop, Small",0,8/9/2005 8:07:09 AM,0,,,,,182,,sj,185,06/28/2005,PM,6,2,19,Sales Room,2005,4148,15,Space,,,,,,,,,,,Phyllis Manner,2005
2001,Ben Lowe,,,,,,,,,,4,Commercial,rooms 1 and 2,rooms 1 and 2,None,4152,4152,,16.gif,L-shaped serving counter with marble top. Counter in front facing the street.  One circular hole in east end of counter near the end of the long arm but with no dolium inside and no indication of whether there once was. Stepped shelf at north end consists of two steps.  Top step makes a shelf.  Current counter is heavily restored.,20,,Benedict Lowe,6.1.17,81,6.1.17,,06/22/2001,,17,50,15,15,Counter,,Yes,,Yes,0,Yes,1,,06/02/2011,18,4102,"Food & Drink Shop, Small",0,12/18/2005 2:51 AM,0,,,Video:  room and counter.  Photographer - Lee Payne,,,,Lee Payne,,06/22/2001,Curtis/,6,1,17,Counter Room,2001,4148,16,Feature,498,Shop of Acisculus,,0502,42:40-44:21,,,,Bob Curtis,2001,,
2005,Ben Lowe,2005,Lee Payne,,,,Ellis,,,,4,Commercial,Adjacent to street on east.,Adjacent to street on east.,None,4152,4152,,17.gif,"Rectangular counter room, has side opening to street (west). Shares same tall tufa pier with VI.1.17. No evidence for lintel. Entire door threshold and grooves for wooden panels preserved. Doorway with jambs is preserved on south side. L-shaped counter extends from north wall halfway across entrance, then turns a right angle to rear (east). Brick pier to left and north of staircase is a later repair.",,,Benedict Lowe,6.1.17,183,6.1.17,184,06/05/2007,Jay Henriques,17,211,16,16,(none),,Yes,,Yes,0,Yes,1,,08/17/2012,18,4102,"Food & Drink Shop, Small",0,8/9/2005 8:07:09 AM,0,,,None,,172,,Lee Payne,184,07/06/2005,HP,6,1,17,Counter Room,2005,4148,17,Space,498,House of Acisculis,,2,42:14-44:21,,,,,,Helen Powell,2005
,,,,,,,"Eschebach, 1993, shows staircase leading up to living quarters above rear of shop in southeast corner",Eschebach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Ben Lowe,,,,,,"Ellis, 2004, J.R.A. article",Ellis,,,4,Commercial,"Two rear rooms lie to east, adjacent to east-side of street.  Latrine connects off southeast corner of counter room.","Two rear rooms lie to east, adjacent to east-side of street.  Latrine connects off southeast corner of counter room.",None,4152,4152,,18.gif,Room contains L-shaped counter in south of room in convenient position to attract business of those entering and exiting city from street (follows Ellis' theory re: field of vision). Marble threshold extends across front of shop with indentations for wood partitions.  Large tufa piers frame entrance. Two doors lead off counter room to rear (east).,,,Benedict Lowe,6.1.18,183,6.1.18,184,06/05/2007,Jay Henriques,18,211,17,17,(none),,Yes,,Yes,0,Yes,1,,06/02/2011,18,4102,"Food & Drink Shop, Small",0,8/9/2005 8:07:09 AM,0,,,,,,,,184,07/06/2005,HP,6,1,17,Counter Room,2005,4148,18,Space,499,Shop of Phoebus,,2,40:27-41:23,,,,,,Helen Powell,2005
2001,Ben Lowe,,,,,,,,,,4,Commercial,Possible latrine.,None,Possible latrine.,4152,4152,,19.gif,"L-shaped counter extends from south wall, halfway across from frontage of shop, and then has right angle turn to rear [east].  Hearth is at significantly lower level at east end of counter. Counter has stepped rack on south end, and is unusual.  Upper surface is a step, but more of a shelf.  Three square cuttings directly above level of masonry shelf may or may not relate to shelf.  South wall forms obtuse angle, storage niche is beneath stepped area of counter. No imbedded dolia. Top shelf measures 64 x 57.  Counter surface is largely reconstructed.",20,,Benedict Lowe,6.1.18,81,6.1.18,,06/21/2001,,18,50,18,18,Counter,,Yes,,Yes,0,Yes,1,,08/17/2012,18,4102,"Food & Drink Shop, Small",0,12/18/2005 3:41:39 PM,0,,,Photographed in 2005 by Lee Payne.,,,,Lee Payne,,06/21/2001,Curtis/,6,1,17,Counter Room,2001,4148,19,Feature,499,Shop of  Phoebus,,0502,41:23-42:04,,,,Bob Curtis,2001,,
2001,Ben Lowe,,,,,,,,,,4,Commercial,None,None,None,4152,4152,,20.gif,"Preparation platform, masonry,  with an excavated area where a vessel of some sort was inserted.",20,,Benedict Lowe,6.1.18,81,6.1.18,,06/21/2001,,18,15,19,19,"Platform, Preparation",,Yes,,Yes,0,Yes,1,,06/02/2011,18,4102,"Food & Drink Shop, Small",0,12/18/2005 5:01:56 PM,0,,,,,,,,,06/21/2001,Curtis/,6,4,48,Other,2001,4148,20,Feature,499,Shop of  Phoebus,,,,,,,Bob Curtis,2001,,
2001,Ben Lowe,,,,,,,,,,4,Commercial,Opens to counter room,Opens to counter room,None,4152,4152,,21.gif,U-shaped counter with 6 dolia openings. At end of right arm is a slot for a pot of water over charcoal.,20,,Benedict Lowe,6.2.1,81,6.2.1,91,06/21/2001,,1,50,20,20,Counter,,Yes,,Yes,0,Yes,2,,06/22/2011,18,4102,"Food & Drink Shop, Small",0,8/9/2005 8:07:09 AM,0,,,,,,,,,06/21/2001,Curtis/,6,1,17,Counter Room,2001,4148,21,Feature,,,,,,,,,Bob Curtis,2001,,
,,,,,,,,,,,4,Commercial,"North of garden 21, cistern in garden to east, cistern in garden to south, and guttering along garden colonnade.",None,"North of garden 21, cistern in garden to east, cistern in garden to south, and guttering along garden colonnade.",4152,4152,,22.gif,Masonry triclinium facing south.  Cocciopesto surface survives on north and east surfaces.  Marble faced basin in center of couches.  Wall painting survives on north and east face.  North is red with traces of small (3) central tondos.  Brick column stands to the southwest of the couch supporting roof now removed.  Traces of post supports survive in north wall.,,,,,,,153,05/05/2007,skl,4,75,21,21,"Couch, Triclinium Masonry",,Yes,,Yes,0,Yes,2,,06/02/2011,16,4102,Hotel/Inn,0,8/9/2005 8:07:09 AM,0,,,,,,,,153,07/05/2005,JB,6,21,39,Horticultural,2005,4148,22,Feature,543,A. Cassius Libanus House of Sallust,,,,,,,,,Jennifer Bailey,2005
,,2005,Judith Palmer,,,,,,,,4,Commercial,On south side of room.  Platform to north.,None,On south side of room.  Platform to north.,4152,4152,,23.gif,Counter with 6 dolia inserted.  Marble countertop restored.  One dolium in situ.  Hearth.  Long face faces room #1.  Shorter face looking out to street to west.,32,,,,,,,05/05/2007,skl,4,50,22,22,Counter,,Yes,,Yes,0,Yes,2,,06/02/2011,16,4102,Hotel/Inn,0,8/9/2005 8:07:09 AM,0,,,23R-123,,171,,Judith,,07/05/2005,BL,6,2,17,Counter Room,2005,4148,23,Feature,543,A. Cassius Libanus House of Sallust,,,,,,,Ben Lowe,2005,,
,,2005,Judith Palmer,,,,,,,,4,Commercial,To north of U-shaped serving counter.  In center of room to south a street.,None,To north of U-shaped serving counter.  In center of room to south a street.,4152,4152,,24.gif,Marble top and step restored.  No recesses or other features.,,,,,,,165,05/05/2007,skl,4,15,23,23,"Platform, Preparation",,Yes,,Yes,0,Yes,2,,06/02/2011,16,4102,Hotel/Inn,0,8/9/2005 8:07:09 AM,0,,,24 R,,171,,Judith,165,07/05/2005,DM,6,2,17,Counter Room,2005,4148,24,Feature,543,A. Cassius Libanus House of Sallust,,,,,,,,,Doris McCarter,2005
,,,,,,,,,,,4,Commercial,None,None,None,4152,4152,,25.gif,"Triclinium.  Room  measured only room # 12badly ruined walls, measurements are suggestive at best, cannot discern opening location(s).Room # 8, badly ruined room and walls, measurements are suggestive at best.",19,,,Sketch25,,25,,06/26/2001,,19,211,24,24,(none),,Yes,,Yes,0,Yes,2,,06/02/2011,16,4102,Hotel/Inn,0,8/9/2005 8:07:09 AM,0,102313435,,,,,B&W 01 02 31/34/35,,,06/26/2001,BM /,6,12,34,Dining Room,2001,4148,25,Space,526,,,,,,,,Betty Jo Mayeske,2001,,
,,,,,,,,,,,1,Domestic,None,None,None,4152,4152,,26.gif,Triclinium  -See Drawing/Sketch-,20,,,Sketch26,,26,,06/26/2001,,17,211,25,25,(none),,Yes,,Yes,0,Yes,2,,06/02/2011,3,4102,House,0,8/9/2005 8:07:09 AM,0,1023435,,,,,B&W 01 02 34/35,,,06/26/2001,Curtis/,6,8,34,Dining Room,2001,4148,26,Space,524,House of Isis,,,,,,,Bob Curtis,2001,,
,,,,,,,,,,,1,Domestic,None,None,None,4152,4152,,27.gif,Triclinium  -See Drawing/Sketch-,20,,,Sketch27,,27,,06/26/2001,,17,211,26,26,(none),,Yes,,Yes,0,Yes,2,,06/02/2011,3,4102,House,0,8/9/2005 8:07:09 AM,0,1102930,,,,,B&W 01 10 29/30,,,06/26/2001,Curtis/,6,19,34,Dining Room,2001,4148,27,Space,524,House of Isis,,,,,,,Bob Curtis,2001,,
,,2005,Steve Jenness,,,,,,,,1,Domestic,Room #11 to east.,Room #11 to east.,None,4152,4152,,28.gif,"Square dining room overlooking peristyle garden to south.  Plaster survives on north, east, and west walls.  Traces of coloring survive.  Red trim with yellow background with green vertical stripes.  Vaulted ceiling with trace of plaster surviving northwest corner.  Trace of molding on north wall.  No trace of flooring.  Doorway to dining room #11 in southeast corner.  Marble threshold survives.",,,,Sketch28,,28,173,06/25/2005,Mary,16,211,27,27,(none),,Yes,,Yes,0,Yes,2,,06/03/2011,3,4102,House,0,8/9/2005 8:07:09 AM,0,1103536,1030506,,,182,BW01 10 35/36; 01 03 05/06 (2001),SJ,173,06/25/2005,MR,6,10,34,Dining Room,2005,4148,28,Space,523,House of Narcissus,,04,,,,,,,Margaret Ramos,2005
,,2005,Steve Jenness,,,,,,,,1,Domestic,Dining room #10 to the west and peristyle garden to the south.,Dining room #10 to the west and peristyle garden to the south.,None,4152,4152,,29.gif,"Small square dining room facing peristyle garden.  Doorway to dining room #10 in southwest corner.  Traces of plaster decoration surviving on north, south, east, and west walls with color surviving in northwest corner consisting of red lower register.  Traces of red also in southwest corner.  No flooring survives.",,,,Sketch29,,29,156,06/25/2005,Mary,16,211,28,28,(none),,Yes,,Yes,0,Yes,2,,06/02/2011,3,4102,House,0,8/9/2005 8:07:09 AM,0,,,,,182,,SJ,156,06/25/2005,Ted,6,11,34,Dining Room,2005,4148,29,Space,523,House of Narcissus,,04,,,,,,,Ted Engman,2005
,,2005,Steve Jenness,,,,,,,,1,Domestic,small room inside posticum.  Connecting latrine to north and a store room to west (#12),small room inside posticum.  Connecting latrine to north and a store room to west (#12),None,4152,4152,,30.gif,Small room inside rear door (posticum).  Kitchen has a rebuilt cooking platform against west wall.  Wall above not preserved enough to prove the presence of a window but a small circular hole (no height in it) could serve as some type of exhaust.,,,,Sketch30,,30,168,06/25/2005,Mary,16,211,29,29,(none),,Yes,,Yes,0,Yes,2,,08/17/2012,3,4102,House,0,8/9/2005 8:07:09 AM,0,1030809,1030809,,,182,01 03 08/09 (2001),SJ,168,06/25/2005,Meier,6,13,40,Kitchen,2005,4148,30,Space,523,House of Narcissus,,04,,,,,,,Mary Meier,2005
,,2005,Steve Jenness,,,,,,,,1,Domestic,Small space to north of kitchen no features visible but presently (June 2005) being excavated by students from Naples.,Small space to north of kitchen no features visible but presently (June 2005) being excavated by students from Naples.,None,4152,4152,,31.gif,Small window preserved in east wall and small opening for terra cotta pipe but no pipe there.  Both that opening and that mentioned on FS #30 both are situated on the same horizontal plane above 5-6 courses of brick.  Better preserved on outside of building.,,,,Sketch31,,31,168,06/25/2005,Mary,16,39,30,30,Latrine,,Yes,,Yes,0,Yes,2,,06/02/2011,3,4102,House,0,8/9/2005 8:07:09 AM,0,,,,,182,,SJ,168,06/25/2005,Meier,6,13,40,Kitchen,2005,4148,31,Feature,523,House of Narcissus,,04,,,,,,,Mary Meier,2005
,,2005,Steve Jenness,,,,,,,,1,Domestic,"Rectangular dining room opening west into garden, through a wide doorway.  To north is corridor #16, the room is in southwest corner of house.","Rectangular dining room opening west into garden, through a wide doorway.  To north is corridor #16, the room is in southwest corner of house.",None,4152,4152,,32.gif,Trapezoidal.  Rear east wall follows axis Via ----- (see Lindley).  East and south walls have been capped and weather proofed.  Difficult to discern extent of ancient wall plaster.  Most of southeast walls retain most of wall plaster - check volume by PPM.  Doors not preserved to height of lintels. Original flooring appears to have been mosaic.  Small patches beneath lapilli.  Best in southwest corner.,,,,Sketch32,,32,173,06/25/2005,Mary,16,211,31,31,(none),,Yes,,Yes,0,Yes,2,,08/17/2012,3,4102,House,0,8/9/2005 8:07:09 AM,0,1090506,,,,182,BW01 09 05/06 (2001),SJ,,06/25/2005,,6,15,34,Dining Room,2005,4148,32,Space,523,House of Narcissus,,04,,,,,,,,
,,2005,Steve Jenness,,,,,,,,1,Domestic,Peristyle in west (#10).  Atrium in east (#4).  Corridor in north #7.  No access.,Peristyle in west (#10).  Atrium in east (#4).  Corridor in north #7.  No access.,None,4152,4152,,33.gif,"Rectangular dining room with steps to atrium in east wall.  South wall paintings survive with surviving arch. Dec. Central tondo removed from blue background.  Red and yellow decoration survives extensively in lower register.  West wall opens to peristyle garden.  Excavated mosaic and stone flooring forming center of red clay matrix floor.  Klinea would have been arranged around central mosaic and stone decoration.  North wall is undecorated.  Note:  the mosaic was excavated by U - Naples, 2005.",,,,Sketch33,,33,173,06/25/2005,Mary,22,211,32,32,(none),,Yes,,Yes,0,Yes,2,,08/17/2012,3,4102,House,0,8/9/2005 8:07:09 AM,0,,,,,182,,SJ,173,06/25/2005,MR,6,5,34,Dining Room,2005,4148,33,Space,529,House of M. Pupius,,04,6:32-7:30,,,,,,Margaret Ramos,2005
